13777356	M	1964	2	27	HOFHEIM (TAUNUS) STADT	BERND	KAPFER	000
9978005	F	1970	1	31	SIMMERN/ HUNSRÜCK	ILONA	TEGETHOFF	000
19704725	M	1987	3	30	DRESDEN	VOLKMAR	BARTHOLD	000
8684066	M	1966	11	20	KASSEL STADT	WINFRIED	PFEIFFER	000
2006635	F	1972	10	24	BIELEFELD	ANNETTE	UTZ	000
6327214	F	1959	3	15	ESSEN STADT	MARTINA	TIED	000
10086393	M	1931	2	20	FREIBURG IM BREISGAU STADT	KARLHEINZ	SCHREIBER	000
6843136	M	1927	7	29	KOELN STADT	REINHOLD	STEINKE	000
12896945	F	19337	11	14	LWHR	ROSA	EPPLER	000
5967781	F	1960	11	7	BERLIN	LIDIA	FUCHS	000
18997700	F	1967	4	12	ROMMERSHEIM	GABRIELE	KUNATH	000
3721822	F	1940	2	1	HAMBURG FREIE UND HANSESTADT	CHRISTEL	BAADER	000
15175081	M	1940	11	30	KOELN STADT	JOSEF	REISCHL	000
16472442	M	1931	4	14	EGLING	THOMAS	MUNZERT	000
17130309	M	1999	8	18	BERLIN	BERND	GEHRING	000
11685070	F	1977	4	5	HAMBURG	HEIKE	GREENWOOD	000
14641016	M	1999	7	6	DARMSTADT	HANS	MARKMILLER	000
14257147	M	1949	8	15	ROTTENBURG A D LAABER STADT	EUGEN	SIBER	000
14068373	M	1945	10	22	MUENCHEN STADT	EBERHARD	VOELZKE	000
14314255	M	1961	101	17	OTTOBRUNN	FRANZ	FRIEDSL	000
11850831	M	1919	11	21	WAIBSTAPDT STADT	HORST	GEISELHARJT	000
11801490	M	1940	11	19	SCHWENDI	HERBERT	WOEHRLE	000
20824584	M	1965	11	13	FREIBURG IM BREISGAU STADT	ROLF	WEBER	000
1313871	F	18950	12	14	ALLWENJBACH	HUELGA	WESTPHAL	000
4017776	M	1929	7	5	DRENSTEINFURT STADT	EDUARD	SCHNEIDER	000
19520460	M	1985	2	21	SCHLESWIG	RALF	TOEPFER	000
19518638	M	1951	5	24	LEIPZIG	RALF	KUENZEL	000
20336985	M	1959	8	26	WOLFSBURG STADT	WILHELM	SOELTER	000
20811377	F	1977	11	3	GERA	RENATE	BATHORY	000
19691998	M	1956	11	1	KREFELD STADT	UWE	LAMMEL	000
10966670	F	1962	1	24	MAINTAL STADT	CHARLOTTE	NERI	000
20466403	F	1955	10	14		ELISABETH	WITZMANN	000
1710822	M	1970	7	11	OLDENBURG	KLAUS	KNOKE	000
12830246	M	1983	9	6	TUTTLINGEN	RICHARD	KAPPLER	000
17498489	M	1978	12	13	BERLIN	LUTZ	ERB	000
15724259	F	1968	5	26	WINDSBACH STADT	MARTINA	HOEFLER	000
17967815	M	1955	5	23	LEMGO STADT	HANSJUERGEN	BROESE	000
5119750	M	1968	9	14	POSEN	HENRYK	NOCZYNSKI	152
7368082	F	1970	2	27	WARSTEIN	URSULA	BEHRENS	000
18319064	M	12	7	88	HOYERSWERDA	WILBFRIED	WEISENBURGER	000
1946039	M	1976	11	26	LÜNEBURG	MARCMICHAEL	JAEGER	000
5506878	F	1977	10	30	RADOM	JOHANNA	SCIERSKI	152
11351157	M	1984	3	80	HORNJBEFRG	FRANZ	HAEFFNER	000
5479176	M	1935	4	30	KOELN STADT	JOCHEN	MESSEMER	000
1140830	M	60627	3	24	STADE STADT	HELMUT	WOLF	000
17575900	F	1986	12	25	BERLIN	OLENA	HUEBNER	000
6644154	M	19226	12	40	MOENCHENGLADBACH STADT	PETER	BRINKMANN	000
1210605	M	198	3	7	GEORGSMARKENHUETTE STADT	MARC	TUERNAU	000
20916551	M	1962	1	25		WILLI	BAUMGARTEN	000
16222649	M	1985	4	30	INGOLSTADT	RUDI	THIBAUT	000
12569364	M	1990	8	12	SOSNOWITZ	MIECZYSLAW	MIELCZAREK	152
1649807	M	1995	6	6	LANGENE	RUDOLF	BAAE	000
16091406	M	1997	1	13	NEUMARKT I. D. OPF.	REINHOLD	KREMPL	000
14491124	M	1971	56	29	LANDSBERG AM LECH	GERHAR	LAEMLMIE	000
460913	M	1949	12	31	SCHOENEBRG	GEORX	LAUEDMANN	000
